YearMonth,IndividualPoints
2005-01,0.0
2005-02,0.0
2005-03,11.0
2005-04,2.0
2005-05,6.0
2005-06,3.0
2005-07,2.0
2005-08,3.0
2005-09,0.0
2005-10,7.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,1.0
2006-04,1.0
2006-05,6.0
2006-06,1.0
2006-07,3.0
2006-08,4.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,4.0
2007-06,2.0
2007-07,10.0
2007-08,0.0
2007-09,7.0
2007-10,1.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,2.0
2008-04,6.0
2008-05,0.0
2008-06,6.0
2008-07,0.0
2008-08,0.0
2008-09,2.0
2008-10,1.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,27.5
2009-05,15.0
2009-06,32.0
2009-07,24.0
2009-08,6.0
2009-09,6.0
2009-10,25.0
2009-11,18.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,18.0
2010-04,55.0
2010-05,98.0
2010-06,47.0
2010-07,54.0
2010-08,58.0
2010-09,53.0
2010-10,43.0
2010-11,72.0
2010-12,0.0
2011-01,0.0
2011-02,0.0
2011-03,35.0
2011-04,70.0
2011-05,117.0
2011-06,73.0
2011-07,88.0
2011-08,43.0
2011-09,65.0
2011-10,104.0
2011-11,55.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,42.0
2012-04,59.0
2012-05,45.0
2012-06,30.0
2012-07,70.0
2012-08,0.0
2012-09,51.0
2012-10,110.0
2012-11,53.0
2012-12,0.0
2013-01,0.0
2013-02,0.0
2013-03,66.0
2013-04,43.0
2013-05,55.0
2013-06,55.0
2013-07,58.0
2013-08,35.0
2013-09,65.0
2013-10,93.0
2013-11,126.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,15.0
2014-04,42.0
2014-05,42.0
2014-06,44.0
2014-07,76.0
2014-08,35.0
2014-09,51.0
2014-10,37.0
2014-11,63.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,11.0
2015-04,12.0
2015-05,29.0
2015-06,3.0
2015-07,41.0
2015-08,12.0
2015-09,31.0
2015-10,11.0
2015-11,37.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,12.0
2016-04,45.0
2016-05,55.0
2016-06,28.0
2016-07,116.0
2016-08,18.0
2016-09,42.0
2016-10,111.0
2016-11,41.0
2016-12,0.0
2017-01,0.0
2017-02,0.0
2017-03,10.0
2017-04,47.0
2017-05,40.0
2017-06,40.0
2017-07,47.0
2017-08,15.0
2017-09,31.0
2017-10,110.0
2017-11,28.0
2017-12,0.0
2018-01,0.0
2018-02,0.0
2018-03,20.0
2018-04,35.0
2018-05,52.0
2018-06,57.0
2018-07,59.0
2018-08,15.0
2018-09,54.0
2018-10,70.0
2018-11,57.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,31.0
2019-04,33.0
2019-05,46.0
2019-06,59.0
2019-07,48.0
2019-08,27.0
2019-09,67.0
2019-10,30.0
2019-11,50.0
2019-12,26.0
2020-01,0.0
2020-02,0.0
2020-03,0.0
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,55.0
2020-08,103.0
2020-09,34.0
2020-10,34.0
2020-11,48.0
2020-12,45.0
2021-01,0.0
2021-02,0.0
2021-03,28.0
2021-04,25.0
2021-05,96.0
2021-06,103.0
2021-07,37.0
2021-08,14.5
2021-09,61.0
2021-10,73.0
2021-11,104.0
2021-12,44.0
2022-01,0.0
2022-02,0.0
2022-03,37.0
2022-04,76.0
2022-05,122.0
2022-06,69.0
2022-07,127.0
2022-08,44.0
2022-09,70.0
2022-10,151.0
2022-11,63.0
2022-12,0.0
2023-01,0.0
2023-02,0.0
2023-03,87.0
2023-04,93.0
2023-05,69.0
2023-06,72.0
2023-07,182.0
2023-08,37.0
2023-09,83.0
2023-10,108.0
2023-11,129.0
2023-12,0.0
